zb,zg,zb_nueva,gap,gap_nueva,time_batching,time_greedy,filename
28.300000,36.900000,29.300000,0.233062,0.034130,2010.000000,3.000000,small_0.csv
31.400000,42.400000,32.400000,0.259434,0.030864,94.000000,3.000000,small_1.csv
55.900000,65.600000,56.900000,0.147866,0.017575,123.000000,3.000000,small_2.csv
22.700000,29.500000,23.700000,0.230508,0.042194,68.000000,3.000000,small_3.csv
29.800000,33.900000,30.800000,0.120944,0.032468,83.000000,3.000000,small_4.csv
53.400000,63.600000,54.400000,0.160377,0.018382,117.000000,4.000000,small_5.csv
40.000000,44.900000,41.000000,0.109131,0.024390,108.000000,4.000000,small_6.csv
45.900000,56.300000,46.900000,0.184725,0.021322,123.000000,3.000000,small_7.csv
34.500000,38.100000,35.500000,0.094488,0.028169,898.000000,3.000000,small_8.csv
48.700000,58.100000,49.700000,0.161790,0.020121,110.000000,3.000000,small_9.csv
319.500000,408.700000,329.500000,0.218253,0.030349,4296.000000,123.000000,medium_0.csv
334.200000,380.000000,344.200000,0.120526,0.029053,3430.000000,95.000000,medium_1.csv
231.500000,307.700000,241.500000,0.247644,0.041408,4587.000000,106.000000,medium_2.csv
307.400000,380.100000,317.400000,0.191265,0.031506,4411.000000,103.000000,medium_3.csv
224.800000,279.200000,234.800000,0.194842,0.042589,2927.000000,101.000000,medium_4.csv
331.700000,398.500000,341.700000,0.167629,0.029265,3813.000000,182.000000,medium_5.csv
240.900000,323.100000,250.900000,0.254410,0.039857,4599.000000,98.000000,medium_6.csv
250.000000,325.500000,260.000000,0.231951,0.038462,3178.000000,140.000000,medium_7.csv
217.600000,271.300000,227.600000,0.197936,0.043937,3754.000000,194.000000,medium_8.csv
248.700000,299.000000,258.700000,0.168227,0.038655,3906.000000,135.000000,medium_9.csv
681.500000,917.900000,706.500000,0.257544,0.035386,29623.000000,941.000000,large_0.csv
748.900000,988.200000,774.000000,0.242157,0.032429,64391.000000,680.000000,large_1.csv
574.500000,736.900000,599.500000,0.220383,0.041701,35953.000000,847.000000,large_2.csv
705.900000,844.500000,730.900000,0.164121,0.034204,28011.000000,751.000000,large_3.csv
702.000000,844.200000,727.000000,0.168443,0.034388,34392.000000,664.000000,large_4.csv
610.600000,795.700000,635.600000,0.232625,0.039333,36359.000000,1076.000000,large_5.csv
651.100000,793.700000,676.100000,0.179665,0.036977,29508.000000,734.000000,large_6.csv
656.700000,867.800000,681.700000,0.243259,0.036673,39670.000000,843.000000,large_7.csv
800.700000,944.900000,825.700000,0.152609,0.030277,26960.000000,1078.000000,large_8.csv
634.100000,762.200000,659.100000,0.168066,0.037931,57220.000000,925.000000,large_9.csv
1321.200000,1655.300000,1371.200000,0.201837,0.036464,169219.000000,4371.000000,xl_0.csv
1362.800000,1605.100000,1412.800000,0.150956,0.035391,139399.000000,3130.000000,xl_1.csv
1220.600000,1486.900000,1270.600000,0.179097,0.039351,129982.000000,3636.000000,xl_2.csv
1124.400000,1390.200000,1174.600000,0.191196,0.042738,160232.000000,6242.000000,xl_3.csv
1241.700000,1467.000000,1291.700000,0.153579,0.038709,129333.000000,3900.000000,xl_4.csv
1205.400000,1441.500000,1255.500000,0.163788,0.039904,144192.000000,3890.000000,xl_5.csv
1471.800000,1737.400000,1521.800000,0.152872,0.032856,143984.000000,3926.000000,xl_6.csv
1367.400000,1705.100000,1417.400000,0.198053,0.035276,265651.000000,3029.000000,xl_7.csv
1193.500000,1512.700000,1243.800000,0.211013,0.040441,124873.000000,3735.000000,xl_8.csv
1259.400000,1531.700000,1309.400000,0.177776,0.038185,129685.000000,4020.000000,xl_9.csv
